Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Norsjö A;149560;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-12-01 00:00:00;2021-01-31 23:59:59;309.576;64.9253;19.3744

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2013-07-01 00:00:01;2013-08-01 00:00:00;2013-07;14.3;Y
2013-10-01 00:00:01;2013-11-01 00:00:00;2013-10;2.6;Y
2013-11-01 00:00:01;2013-12-01 00:00:00;2013-11;-3.0;Y
2013-12-01 00:00:01;2014-01-01 00:00:00;2013-12;-3.7;Y
2014-01-01 00:00:01;2014-02-01 00:00:00;2014-01;-11.3;Y
2014-02-01 00:00:01;2014-03-01 00:00:00;2014-02;-2.2;Y
2014-03-01 00:00:01;2014-04-01 00:00:00;2014-03;-1.4;Y
2014-04-01 00:00:01;2014-05-01 00:00:00;2014-04;2.0;Y
2014-05-01 00:00:01;2014-06-01 00:00:00;2014-05;7.2;Y
2014-06-01 00:00:01;2014-07-01 00:00:00;2014-06;11.3;Y
2014-07-01 00:00:01;2014-08-01 00:00:00;2014-07;18.4;Y
2014-08-01 00:00:01;2014-09-01 00:00:00;2014-08;13.7;Y
2014-09-01 00:00:01;2014-10-01 00:00:00;2014-09;8.3;Y
2014-10-01 00:00:01;2014-11-01 00:00:00;2014-10;1.4;Y
2014-11-01 00:00:01;2014-12-01 00:00:00;2014-11;-2.9;Y
2014-12-01 00:00:01;2015-01-01 00:00:00;2014-12;-5.9;Y
2015-01-01 00:00:01;2015-02-01 00:00:00;2015-01;-8.4;Y
2015-02-01 00:00:01;2015-03-01 00:00:00;2015-02;-3.7;Y
2015-03-01 00:00:01;2015-04-01 00:00:00;2015-03;-1.5;Y
2015-04-01 00:00:01;2015-05-01 00:00:00;2015-04;1.9;Y
2015-05-01 00:00:01;2015-06-01 00:00:00;2015-05;5.9;Y
2015-06-01 00:00:01;2015-07-01 00:00:00;2015-06;9.7;Y
2015-07-01 00:00:01;2015-08-01 00:00:00;2015-07;13.1;Y
2015-08-01 00:00:01;2015-09-01 00:00:00;2015-08;13.9;Y
2015-09-01 00:00:01;2015-10-01 00:00:00;2015-09;9.6;Y
2015-10-01 00:00:01;2015-11-01 00:00:00;2015-10;2.7;Y
2015-11-01 00:00:01;2015-12-01 00:00:00;2015-11;-1.3;Y
2015-12-01 00:00:01;2016-01-01 00:00:00;2015-12;-4.4;Y
2016-01-01 00:00:01;2016-02-01 00:00:00;2016-01;-14.4;Y
2016-02-01 00:00:01;2016-03-01 00:00:00;2016-02;-7.0;Y
2016-03-01 00:00:01;2016-04-01 00:00:00;2016-03;-2.0;Y
