Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Hällum A;83190;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-02-01 00:00:00;2020-12-31 23:59:59;70.071;58.3218;13.0379

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2013-11-01 00:00:01;2013-12-01 00:00:00;2013-11;3.7;Y
2013-12-01 00:00:01;2014-01-01 00:00:00;2013-12;3.6;Y
2014-01-01 00:00:01;2014-02-01 00:00:00;2014-01;-1.1;Y
2014-02-01 00:00:01;2014-03-01 00:00:00;2014-02;2.8;Y
2014-03-01 00:00:01;2014-04-01 00:00:00;2014-03;4.6;Y
2014-04-01 00:00:01;2014-05-01 00:00:00;2014-04;7.6;Y
2014-05-01 00:00:01;2014-06-01 00:00:00;2014-05;11.5;Y
2014-06-01 00:00:01;2014-07-01 00:00:00;2014-06;14.4;Y
2014-07-01 00:00:01;2014-08-01 00:00:00;2014-07;19.0;Y
2014-08-01 00:00:01;2014-09-01 00:00:00;2014-08;15.2;Y
2014-09-01 00:00:01;2014-10-01 00:00:00;2014-09;12.5;Y
2014-10-01 00:00:01;2014-11-01 00:00:00;2014-10;9.7;Y
2014-11-01 00:00:01;2014-12-01 00:00:00;2014-11;5.1;Y
2014-12-01 00:00:01;2015-01-01 00:00:00;2014-12;0.6;Y
2015-01-01 00:00:01;2015-02-01 00:00:00;2015-01;1.1;Y
2015-02-01 00:00:01;2015-03-01 00:00:00;2015-02;1.0;Y
2015-03-01 00:00:01;2015-04-01 00:00:00;2015-03;3.5;Y
2015-04-01 00:00:01;2015-05-01 00:00:00;2015-04;6.5;Y
2015-05-01 00:00:01;2015-06-01 00:00:00;2015-05;9.2;Y
2015-06-01 00:00:01;2015-07-01 00:00:00;2015-06;12.9;Y
2015-07-01 00:00:01;2015-08-01 00:00:00;2015-07;15.6;Y
2015-08-01 00:00:01;2015-09-01 00:00:00;2015-08;16.6;Y
2015-09-01 00:00:01;2015-10-01 00:00:00;2015-09;12.3;Y
2015-10-01 00:00:01;2015-11-01 00:00:00;2015-10;7.4;Y
2015-11-01 00:00:01;2015-12-01 00:00:00;2015-11;5.2;Y
2015-12-01 00:00:01;2016-01-01 00:00:00;2015-12;3.9;Y
2016-01-01 00:00:01;2016-02-01 00:00:00;2016-01;-4.1;Y
2016-02-01 00:00:01;2016-03-01 00:00:00;2016-02;0.3;Y
2016-03-01 00:00:01;2016-04-01 00:00:00;2016-03;2.4;Y
2016-04-01 00:00:01;2016-05-01 00:00:00;2016-04;6.2;Y
2016-05-01 00:00:01;2016-06-01 00:00:00;2016-05;12.4;Y
2016-06-01 00:00:01;2016-07-01 00:00:00;2016-06;15.6;Y
2016-07-01 00:00:01;2016-08-01 00:00:00;2016-07;16.6;Y
2016-08-01 00:00:01;2016-09-01 00:00:00;2016-08;15.0;Y
2016-09-01 00:00:01;2016-10-01 00:00:00;2016-09;14.8;Y
2016-10-01 00:00:01;2016-11-01 00:00:00;2016-10;6.7;Y
2016-11-01 00:00:01;2016-12-01 00:00:00;2016-11;2.0;Y
2016-12-01 00:00:01;2017-01-01 00:00:00;2016-12;2.5;Y
2017-01-01 00:00:01;2017-02-01 00:00:00;2017-01;-0.2;Y
2017-02-01 00:00:01;2017-03-01 00:00:00;2017-02;0.1;Y
2017-03-01 00:00:01;2017-04-01 00:00:00;2017-03;3.1;Y
2017-04-01 00:00:01;2017-05-01 00:00:00;2017-04;5.3;Y
2017-05-01 00:00:01;2017-06-01 00:00:00;2017-05;11.4;Y
2017-06-01 00:00:01;2017-07-01 00:00:00;2017-06;14.9;Y
2017-07-01 00:00:01;2017-08-01 00:00:00;2017-07;15.9;Y
2017-08-01 00:00:01;2017-09-01 00:00:00;2017-08;15.2;Y
2017-09-01 00:00:01;2017-10-01 00:00:00;2017-09;12.2;Y
2017-10-01 00:00:01;2017-11-01 00:00:00;2017-10;8.1;Y
2017-11-01 00:00:01;2017-12-01 00:00:00;2017-11;3.0;Y
2017-12-01 00:00:01;2018-01-01 00:00:00;2017-12;1.6;Y
2018-01-01 00:00:01;2018-02-01 00:00:00;2018-01;0.3;Y
2018-02-01 00:00:01;2018-03-01 00:00:00;2018-02;-3.8;Y
2018-03-01 00:00:01;2018-04-01 00:00:00;2018-03;-2.0;Y
2018-04-01 00:00:01;2018-05-01 00:00:00;2018-04;7.2;Y
2018-05-01 00:00:01;2018-06-01 00:00:00;2018-05;15.7;Y
2018-06-01 00:00:01;2018-07-01 00:00:00;2018-06;16.5;Y
2018-07-01 00:00:01;2018-08-01 00:00:00;2018-07;20.4;Y
2018-08-01 00:00:01;2018-09-01 00:00:00;2018-08;16.8;Y
2018-09-01 00:00:01;2018-10-01 00:00:00;2018-09;12.9;Y
2018-10-01 00:00:01;2018-11-01 00:00:00;2018-10;8.2;Y
2018-11-01 00:00:01;2018-12-01 00:00:00;2018-11;3.7;Y
2018-12-01 00:00:01;2019-01-01 00:00:00;2018-12;1.0;Y
2019-01-01 00:00:01;2019-02-01 00:00:00;2019-01;-2.0;Y
2019-02-01 00:00:01;2019-03-01 00:00:00;2019-02;2.3;Y
2019-03-01 00:00:01;2019-04-01 00:00:00;2019-03;3.5;Y
2019-04-01 00:00:01;2019-05-01 00:00:00;2019-04;7.6;Y
2019-05-01 00:00:01;2019-06-01 00:00:00;2019-05;9.9;Y
2019-06-01 00:00:01;2019-07-01 00:00:00;2019-06;16.2;Y
2019-07-01 00:00:01;2019-08-01 00:00:00;2019-07;16.8;Y
2019-08-01 00:00:01;2019-09-01 00:00:00;2019-08;16.4;Y
2019-09-01 00:00:01;2019-10-01 00:00:00;2019-09;12.0;Y
2019-10-01 00:00:01;2019-11-01 00:00:00;2019-10;6.8;Y
2019-11-01 00:00:01;2019-12-01 00:00:00;2019-11;3.2;Y
2019-12-01 00:00:01;2020-01-01 00:00:00;2019-12;2.7;Y
2020-01-01 00:00:01;2020-02-01 00:00:00;2020-01;4.2;Y
2020-02-01 00:00:01;2020-03-01 00:00:00;2020-02;2.8;Y
2020-03-01 00:00:01;2020-04-01 00:00:00;2020-03;3.1;Y
2020-04-01 00:00:01;2020-05-01 00:00:00;2020-04;7.0;Y
2020-05-01 00:00:01;2020-06-01 00:00:00;2020-05;9.7;Y
2020-06-01 00:00:01;2020-07-01 00:00:00;2020-06;17.3;Y
2020-07-01 00:00:01;2020-08-01 00:00:00;2020-07;14.7;Y
2020-08-01 00:00:01;2020-09-01 00:00:00;2020-08;17.4;Y
2020-09-01 00:00:01;2020-10-01 00:00:00;2020-09;13.1;Y
2020-10-01 00:00:01;2020-11-01 00:00:00;2020-10;8.5;Y
