Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Mora A;104580;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;degree celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1964-01-01 00:00:01;1964-02-01 00:00:00;1964-01;-4.9;Y
1964-02-01 00:00:01;1964-03-01 00:00:00;1964-02;-6.2;Y
1964-03-01 00:00:01;1964-04-01 00:00:00;1964-03;-3.3;Y
1964-04-01 00:00:01;1964-05-01 00:00:00;1964-04;4.3;Y
1964-05-01 00:00:01;1964-06-01 00:00:00;1964-05;10.2;Y
1964-06-01 00:00:01;1964-07-01 00:00:00;1964-06;12.4;Y
1964-07-01 00:00:01;1964-08-01 00:00:00;1964-07;13.6;Y
1964-08-01 00:00:01;1964-09-01 00:00:00;1964-08;12.3;Y
1964-09-01 00:00:01;1964-10-01 00:00:00;1964-09;8.7;Y
1964-10-01 00:00:01;1964-11-01 00:00:00;1964-10;4.2;Y
1964-11-01 00:00:01;1964-12-01 00:00:00;1964-11;-1.9;Y
1964-12-01 00:00:01;1965-01-01 00:00:00;1964-12;-6.7;Y
1965-01-01 00:00:01;1965-02-01 00:00:00;1965-01;-5.4;Y
1965-02-01 00:00:01;1965-03-01 00:00:00;1965-02;-5.4;Y
1965-03-01 00:00:01;1965-04-01 00:00:00;1965-03;-4.0;Y
1965-04-01 00:00:01;1965-05-01 00:00:00;1965-04;3.5;Y
1965-05-01 00:00:01;1965-06-01 00:00:00;1965-05;7.1;Y
1965-06-01 00:00:01;1965-07-01 00:00:00;1965-06;13.0;Y
1965-07-01 00:00:01;1965-08-01 00:00:00;1965-07;13.0;Y
1965-08-01 00:00:01;1965-09-01 00:00:00;1965-08;12.2;Y
1965-09-01 00:00:01;1965-10-01 00:00:00;1965-09;10.3;Y
1965-10-01 00:00:01;1965-11-01 00:00:00;1965-10;4.6;Y
1965-11-01 00:00:01;1965-12-01 00:00:00;1965-11;-6.4;Y
1965-12-01 00:00:01;1966-01-01 00:00:00;1965-12;-13.6;Y
1966-01-01 00:00:01;1966-02-01 00:00:00;1966-01;-15.0;Y
1966-02-01 00:00:01;1966-03-01 00:00:00;1966-02;-16.5;Y
1966-03-01 00:00:01;1966-04-01 00:00:00;1966-03;-3.3;Y
1966-04-01 00:00:01;1966-05-01 00:00:00;1966-04;-0.2;Y
1966-05-01 00:00:01;1966-06-01 00:00:00;1966-05;8.7;Y
1966-06-01 00:00:01;1966-07-01 00:00:00;1966-06;15.9;Y
1966-07-01 00:00:01;1966-08-01 00:00:00;1966-07;15.5;Y
1966-08-01 00:00:01;1966-09-01 00:00:00;1966-08;12.8;Y
1966-09-01 00:00:01;1966-10-01 00:00:00;1966-09;8.2;Y
1966-10-01 00:00:01;1966-11-01 00:00:00;1966-10;3.4;Y
1966-11-01 00:00:01;1966-12-01 00:00:00;1966-11;-0.2;Y
1966-12-01 00:00:01;1967-01-01 00:00:00;1966-12;-4.5;Y
1967-01-01 00:00:01;1967-02-01 00:00:00;1967-01;-14.2;Y
1967-02-01 00:00:01;1967-03-01 00:00:00;1967-02;-4.6;Y
1967-03-01 00:00:01;1967-04-01 00:00:00;1967-03;1.3;Y
1967-04-01 00:00:01;1967-05-01 00:00:00;1967-04;3.0;Y
1967-05-01 00:00:01;1967-06-01 00:00:00;1967-05;7.8;Y
1967-06-01 00:00:01;1967-07-01 00:00:00;1967-06;12.9;Y
1967-07-01 00:00:01;1967-08-01 00:00:00;1967-07;15.2;Y
1967-08-01 00:00:01;1967-09-01 00:00:00;1967-08;13.9;Y
1967-09-01 00:00:01;1967-10-01 00:00:00;1967-09;9.8;Y
1967-10-01 00:00:01;1967-11-01 00:00:00;1967-10;5.6;Y
1967-11-01 00:00:01;1967-12-01 00:00:00;1967-11;2.3;Y
1967-12-01 00:00:01;1968-01-01 00:00:00;1967-12;-9.6;Y
1968-01-01 00:00:01;1968-02-01 00:00:00;1968-01;-15.7;Y
1968-02-01 00:00:01;1968-03-01 00:00:00;1968-02;-10.4;Y
1968-03-01 00:00:01;1968-04-01 00:00:00;1968-03;-0.9;Y
1968-04-01 00:00:01;1968-05-01 00:00:00;1968-04;5.3;Y
1968-05-01 00:00:01;1968-06-01 00:00:00;1968-05;7.0;Y
1968-06-01 00:00:01;1968-07-01 00:00:00;1968-06;15.8;Y
1968-07-01 00:00:01;1968-08-01 00:00:00;1968-07;15.2;Y
1968-08-01 00:00:01;1968-09-01 00:00:00;1968-08;14.3;Y
1968-09-01 00:00:01;1968-10-01 00:00:00;1968-09;9.3;Y
1968-10-01 00:00:01;1968-11-01 00:00:00;1968-10;2.6;Y
1968-11-01 00:00:01;1968-12-01 00:00:00;1968-11;-7.9;Y
1968-12-01 00:00:01;1969-01-01 00:00:00;1968-12;-8.3;Y
1969-01-01 00:00:01;1969-02-01 00:00:00;1969-01;-7.3;Y
